,Zip,Year,ppsf_doll_pred,Latitude,Longitude
13241,54151.5,2018-01-01,164.4150647740741,38.191489361702125,266.22340425531917
9633,63447.95945945946,2014-01-01,122.22714254065215,37.398648648648646,260.97972972972974
14185,53077.25490196078,2020-01-01,182.69697659291197,38.333333333333336,266.8872549019608
13092,58913.50602409639,2015-01-01,132.75832405679185,37.96686746987952,263.6596385542169
18589,63523.67213114754,2013-01-01,108.10220341069767,37.23360655737705,261.2909836065574
2769,53389.53246753247,2021-01-01,194.90245841049423,38.8474025974026,266.02272727272725
17757,52346.572916666664,2016-01-01,143.6890312380938,37.916666666666664,267.3697916666667
15539,53829.06024096385,2017-01-01,158.95398340685523,37.9066265060241,265.9789156626506
15748,53092.88888888889,2019-01-01,168.59129927365026,38.11868686868687,266.729797979798
14768,64917.53571428572,2012-01-01,102.95019522381799,37.410714285714285,259.9107142857143
